# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6 
7.393331949539874159e-01 -1.588767726657323021e-01 -9.606236454130012703e-02 -5.158842435688820727e-02 -2.327359020292400771e-02 -8.001220080866264933e-03 -1.708621506785743156e-03 -1.188944267532379760e-04
7.293422058329875890e-01 -1.649899613260895626e-01 -9.910416768212226835e-02 -5.276413156497894441e-02 -2.359316531675297035e-02 -8.053326912485753164e-03 -1.712237993674879276e-03 -1.189307686063781431e-04
7.196176430885476982e-01 -1.707193123804147117e-01 -1.019410262294012659e-01 -5.386547555850668134e-02 -2.389501867530025719e-02 -8.102734283428704443e-03 -1.715643885422288642e-03 -1.189612380016718526e-04
7.101489898900141817e-01 -1.758402695465394183e-01 -1.044095152555836181e-01 -5.480168668237164753e-02 -2.414688267652918829e-02 -8.143376594681554781e-03 -1.718413526926871292e-03 -1.189846607756839638e-04
7.009262757355984030e-01 -1.803555680526199856e-01 -1.065131174084778115e-01 -5.557424728697404198e-02 -2.434947842906944049e-02 -8.175652287977550059e-03 -1.720669734358843024e-03 -1.190169299859457423e-04
6.919400414312958381e-01 -1.843601167921519179e-01 -1.083168217557354263e-01 -5.621527441392467489e-02 -2.451278182828041385e-02 -8.200963034618945213e-03 -1.722331237329283518e-03 -1.190261488418438473e-04
6.831813067296339526e-01 -1.879675664318617434e-01 -1.098958590023052517e-01 -5.676188685321120753e-02 -2.464928344882667821e-02 -8.221950606917615562e-03 -1.723751030867820165e-03 -1.190428194846637788e-04
6.746415403955134948e-01 -1.912623490080305189e-01 -1.113031197829658092e-01 -5.723823125742955736e-02 -2.476608066771140981e-02 -8.239654141670216259e-03 -1.724924079854063541e-03 -1.190537807205288074e-04
6.663126324893959840e-01 -1.943084540694164364e-01 -1.125776911006523967e-01 -5.766193784874423800e-02 -2.486855895597116228e-02 -8.255072671790437966e-03 -1.725952127399927628e-03 -1.190652347573895796e-04
6.581868686785496969e-01 -1.971492064906619213e-01 -1.137449688947410609e-01 -5.804375799360886323e-02 -2.495963383912944145e-02 -8.268572999499741727e-03 -1.726812834949431087e-03 -1.190690522046510105e-04
6.502569064053141945e-01 -1.998200128376754758e-01 -1.148260276884482817e-01 -5.839317041141250941e-02 -2.504243627101974956e-02 -8.280922364312853778e-03 -1.727655669423458539e-03 -1.190825412549483138e-04
6.425157527576319527e-01 -2.023410985065584866e-01 -1.158321758605498769e-01 -5.871445033735500640e-02 -2.511780716362970595e-02 -8.292049145949123568e-03 -1.728394504029092402e-03 -1.190915136330327417e-04
6.349567439016597925e-01 -2.047267073976233309e-01 -1.167714759426615317e-01 -5.901064891118990019e-02 -2.518635546597229255e-02 -8.301911790363193655e-03 -1.728971937027208583e-03 -1.190864493207010119e-04
