# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
1.105368793458897825e+00 -1.636426712533911587e-01 -9.942904543744518486e-02 -5.362231781402743147e-02 -2.406356128208556044e-02 -8.186008251441917460e-03 -1.739014297522647893e-03 -1.220722508454288532e-04
1.082962669267163447e+00 -1.725222350678223826e-01 -1.034981721836352869e-01 -5.510827767189202531e-02 -2.444101866375747098e-02 -8.244211398717810058e-03 -1.742954467287754182e-03 -1.221112058321581722e-04
1.061446854645961446e+00 -1.813503310340224828e-01 -1.074042491028098789e-01 -5.648138944678410267e-02 -2.477756585838777892e-02 -8.294945016759251721e-03 -1.746355619408475031e-03 -1.221465595127326463e-04
1.040769318516494568e+00 -1.900716061312679450e-01 -1.111266002833369709e-01 -5.774105067587226303e-02 -2.507589963012127332e-02 -8.338915282673421692e-03 -1.749238268536651431e-03 -1.221712326994551568e-04
1.020882006697708011e+00 -1.986378926885433993e-01 -1.146528432928618502e-01 -5.889105184044951535e-02 -2.534003999522050146e-02 -8.377238898943463463e-03 -1.751759883763017063e-03 -1.221983053301802587e-04
1.001740469072126105e+00 -2.070047643733694542e-01 -1.179741561316761667e-01 -5.993561078626230554e-02 -2.557306214995208604e-02 -8.410465224234248138e-03 -1.753909014873868306e-03 -1.222183029539621838e-04
9.833035279235594617e-01 -2.151348344478380969e-01 -1.210874186563903887e-01 -6.088102620453378355e-02 -2.577843069614574323e-02 -8.439298978394342565e-03 -1.755742953594211214e-03 -1.222324828976742450e-04
9.655329822381938376e-01 -2.229976907887173676e-01 -1.239941550816822113e-01 -6.173492874937802632e-02 -2.595972455200717954e-02 -8.464504388508042876e-03 -1.757355807045080445e-03 -1.222481755883689442e-04
9.483933435002376289e-01 -2.305678837381396618e-01 -1.266980410345189823e-01 -6.250463719190924028e-02 -2.611989472213899210e-02 -8.486611291898746301e-03 -1.758787362730380825e-03 -1.222660678315901691e-04
9.318515991368613305e-01 -2.378234351570500671e-01 -1.292033421435688778e-01 -6.319636344774343106e-02 -2.626100084901102083e-02 -8.505818327576825100e-03 -1.759991896286240351e-03 -1.222757937803127786e-04
9.158770002945152422e-01 -2.447505489835328785e-01 -1.315186132227914584e-01 -6.381795447640033203e-02 -2.638586750261390224e-02 -8.522734928560003753e-03 -1.761067080001961493e-03 -1.222874915172437928e-04
9.004408710760685164e-01 -2.513374647959387698e-01 -1.336513800152925591e-01 -6.437544965616870396e-02 -2.649623411579843379e-02 -8.537559557822579914e-03 -1.761996605756740173e-03 -1.222960904853620783e-04
8.855164367488407295e-01 -2.575775988071840605e-01 -1.356107505544337233e-01 -6.487503340816946906e-02 -2.659391742368477640e-02 -8.550593073630097241e-03 -1.762807438590085173e-03 -1.223029476112443784e-04
8.710786687583704779e-01 -2.634671525343958987e-01 -1.374055468525685608e-01 -6.532197136482909006e-02 -2.668025792076234026e-02 -8.561986158893759857e-03 -1.763490118686343458e-03 -1.223047876984793055e-04
8.571041446606425529e-01 -2.690087010205469698e-01 -1.390470582563171353e-01 -6.572247132030832606e-02 -2.675714630362105440e-02 -8.572179932509013667e-03 -1.764132481739880912e-03 -1.223120428730492038e-04
8.435709213238956616e-01 -2.742064739189811196e-01 -1.405455428647597316e-01 -6.608156234183996947e-02 -2.682590653683764037e-02 -8.581416340385450425e-03 -1.764767975817389117e-03 -1.223279005554223173e-04
8.304584199561667601e-01 -2.790596954908681759e-01 -1.419058423702885818e-01 -6.640060876150741254e-02 -2.688602629109812514e-02 -8.589190454183867618e-03 -1.765206955103171965e-03 -1.223250450947377908e-04
8.177473216915315257e-01 -2.835824814936598326e-01 -1.431416436483213817e-01 -6.668607637943206601e-02 -2.693972665485680831e-02 -8.596199131609978672e-03 -1.765632288530824285e-03 -1.223276060632317013e-04
